flight_date,origin,destination,airline,price,currency
2025-08-10,SCL,ANF,JetSmart,87097,CLP
2025-07-16,ANF,IQQ,JetSmart,41868,CLP
2025-08-13,LSC,CJC,LATAM,125604,CLP
2025-07-03,SCL,ANF,LATAM,75990,CLP
2025-08-02,CJC,SCL,JetSmart,67124,CLP
2025-08-15,LSC,CJC,Sky,72787,CLP
2025-07-29,CJC,IQQ,LATAM,56853,CLP
2025-08-14,PMC,IQQ,Sky,55758,CLP
2025-07-14,IQQ,SCL,LATAM,114595,CLP
2025-07-07,IQQ,PMC,JetSmart,84342,CLP
2025-07-03,LSC,PMC,JetSmart,47722,CLP
2025-07-25,SCL,LSC,Sky,109800,CLP
2025-08-06,ANF,SCL,LATAM,74742,CLP
2025-07-19,SCL,IQQ,LATAM,114647,CLP
2025-07-18,PMC,IQQ,LATAM,112040,CLP
2025-07-23,ANF,PMC,JetSmart,33717,CLP
2025-08-08,LSC,ANF,JetSmart,79175,CLP
2025-07-11,PMC,CJC,Sky,72570,CLP
2025-08-13,IQQ,SCL,LATAM,23414,CLP
2025-07-21,PMC,IQQ,LATAM,70307,CLP
2025-08-06,LSC,IQQ,LATAM,145870,CLP
2025-07-26,LSC,PMC,LATAM,84436,CLP
2025-07-09,ANF,LSC,JetSmart,83876,CLP
2025-08-07,PMC,LSC,Sky,109895,CLP
2025-07-15,ANF,LSC,Sky,38831,CLP
2025-07-04,SCL,IQQ,JetSmart,56938,CLP
2025-08-13,PMC,LSC,LATAM,115864,CLP
2025-07-25,CJC,PMC,JetSmart,80906,CLP
2025-08-05,SCL,ANF,JetSmart,84946,CLP
2025-08-11,IQQ,SCL,Sky,128971,CLP
2025-07-11,PMC,SCL,JetSmart,84045,CLP
2025-08-02,ANF,LSC,LATAM,93235,CLP
2025-08-10,CJC,LSC,LATAM,55065,CLP
2025-07-24,ANF,LSC,JetSmart,15149,CLP
2025-08-08,IQQ,CJC,LATAM,44325,CLP
2025-07-24,IQQ,ANF,LATAM,78143,CLP
2025-08-06,SCL,ANF,JetSmart,142399,CLP
2025-07-05,CJC,ANF,LATAM,139592,CLP
2025-08-05,ANF,PMC,JetSmart,125923,CLP
2025-07-14,CJC,ANF,JetSmart,96714,CLP
2025-07-26,LSC,IQQ,Sky,133354,CLP
2025-07-08,ANF,IQQ,LATAM,103627,CLP
2025-07-02,CJC,LSC,LATAM,72728,CLP
2025-07-01,SCL,ANF,LATAM,32668,CLP
2025-07-03,IQQ,SCL,JetSmart,77391,CLP
2025-07-18,LSC,PMC,LATAM,49684,CLP
2025-08-06,CJC,PMC,LATAM,138987,CLP
2025-07-27,ANF,SCL,LATAM,127997,CLP
2025-07-23,PMC,CJC,Sky,29200,CLP
2025-08-13,LSC,SCL,LATAM,120544,CLP
2025-07-22,SCL,IQQ,LATAM,64862,CLP
2025-08-04,PMC,ANF,Sky,63100,CLP
2025-07-18,PMC,ANF,LATAM,131164,CLP
2025-08-05,SCL,ANF,JetSmart,18868,CLP
2025-07-06,ANF,IQQ,Sky,142307,CLP
2025-07-31,ANF,CJC,LATAM,58158,CLP
2025-07-25,SCL,CJC,Sky,134277,CLP
2025-07-19,PMC,LSC,JetSmart,142577,CLP
2025-07-10,ANF,PMC,LATAM,30331,CLP
2025-08-07,LSC,CJC,LATAM,97209,CLP
2025-07-04,SCL,LSC,Sky,146819,CLP
2025-08-03,ANF,SCL,JetSmart,36000,CLP
2025-07-12,SCL,LSC,LATAM,76657,CLP
2025-07-26,SCL,LSC,LATAM,25418,CLP
2025-08-09,SCL,CJC,JetSmart,97934,CLP
2025-07-17,ANF,PMC,LATAM,84629,CLP
2025-07-26,ANF,PMC,Sky,97883,CLP
2025-07-05,SCL,CJC,JetSmart,41209,CLP
2025-07-05,CJC,ANF,JetSmart,84520,CLP
2025-07-09,IQQ,SCL,LATAM,111869,CLP
2025-07-19,ANF,CJC,JetSmart,94303,CLP
2025-08-09,LSC,CJC,LATAM,93480,CLP
2025-08-12,SCL,IQQ,Sky,45258,CLP
2025-07-07,LSC,CJC,LATAM,86394,CLP
2025-07-19,CJC,ANF,JetSmart,104884,CLP
2025-07-14,LSC,IQQ,JetSmart,143065,CLP
2025-07-17,SCL,ANF,JetSmart,126037,CLP
2025-07-18,SCL,ANF,Sky,49293,CLP
2025-08-10,IQQ,ANF,JetSmart,130824,CLP
2025-08-05,LSC,PMC,JetSmart,17534,CLP
2025-07-08,SCL,IQQ,JetSmart,24444,CLP
2025-07-24,CJC,LSC,LATAM,127666,CLP
2025-07-09,SCL,PMC,Sky,25458,CLP
2025-07-23,ANF,IQQ,JetSmart,41946,CLP
2025-07-23,CJC,PMC,JetSmart,55515,CLP
2025-07-16,ANF,IQQ,Sky,21497,CLP
2025-07-12,LSC,IQQ,Sky,80055,CLP
2025-07-18,ANF,SCL,Sky,25151,CLP
2025-07-31,ANF,IQQ,Sky,106660,CLP
2025-07-20,ANF,IQQ,LATAM,65627,CLP
2025-07-26,IQQ,PMC,LATAM,88170,CLP
2025-07-23,LSC,CJC,Sky,101808,CLP
2025-07-02,SCL,PMC,LATAM,84590,CLP
2025-07-03,SCL,LSC,Sky,105619,CLP
2025-07-21,PMC,LSC,JetSmart,45315,CLP
2025-07-25,CJC,ANF,Sky,26635,CLP
2025-08-15,PMC,SCL,JetSmart,66651,CLP
2025-07-24,PMC,SCL,JetSmart,101559,CLP
2025-08-09,IQQ,SCL,JetSmart,93727,CLP
2025-08-02,IQQ,CJC,Sky,120486,CLP
2025-08-14,IQQ,LSC,LATAM,65289,CLP
2025-07-27,LSC,PMC,JetSmart,60620,CLP
2025-08-09,CJC,IQQ,Sky,15106,CLP
2025-07-20,IQQ,ANF,Sky,99475,CLP
2025-07-30,PMC,CJC,JetSmart,71020,CLP
2025-08-02,PMC,ANF,JetSmart,37228,CLP
2025-07-19,CJC,LSC,Sky,39480,CLP
2025-07-16,LSC,IQQ,LATAM,67200,CLP
2025-07-10,SCL,ANF,LATAM,139554,CLP
2025-08-09,SCL,CJC,Sky,65970,CLP
2025-08-15,LSC,PMC,Sky,119766,CLP
2025-07-16,ANF,SCL,LATAM,126449,CLP
2025-07-15,ANF,LSC,Sky,28164,CLP
2025-08-05,ANF,SCL,Sky,49954,CLP
2025-07-30,LSC,CJC,JetSmart,98177,CLP
2025-07-29,CJC,LSC,Sky,131893,CLP
2025-07-11,LSC,PMC,Sky,82945,CLP
2025-07-16,LSC,IQQ,JetSmart,142034,CLP
2025-08-10,ANF,PMC,Sky,35311,CLP
2025-08-15,IQQ,ANF,Sky,103040,CLP
2025-07-21,CJC,SCL,LATAM,54539,CLP
2025-07-15,PMC,ANF,JetSmart,71086,CLP
2025-07-05,PMC,CJC,Sky,137139,CLP
2025-07-27,SCL,IQQ,Sky,117099,CLP
2025-08-07,LSC,SCL,JetSmart,114714,CLP
2025-07-31,SCL,PMC,Sky,117232,CLP
2025-07-27,CJC,LSC,JetSmart,72812,CLP
2025-08-01,ANF,PMC,Sky,142308,CLP
2025-07-02,PMC,IQQ,JetSmart,120989,CLP
2025-07-11,PMC,ANF,JetSmart,22069,CLP
2025-07-26,CJC,LSC,JetSmart,22104,CLP
2025-07-06,LSC,PMC,LATAM,136031,CLP
2025-07-12,SCL,PMC,Sky,100813,CLP
2025-07-14,PMC,IQQ,Sky,114385,CLP
2025-07-18,PMC,IQQ,LATAM,138288,CLP
2025-07-02,LSC,CJC,LATAM,106740,CLP
2025-07-15,LSC,SCL,JetSmart,25553,CLP
2025-07-02,ANF,IQQ,LATAM,54946,CLP
2025-07-16,ANF,CJC,JetSmart,44986,CLP
2025-08-06,ANF,CJC,JetSmart,82172,CLP
2025-07-24,ANF,LSC,JetSmart,45024,CLP
2025-07-11,IQQ,SCL,JetSmart,21731,CLP
2025-07-20,CJC,PMC,Sky,66990,CLP
2025-07-05,CJC,ANF,LATAM,94058,CLP
2025-08-13,CJC,SCL,JetSmart,25766,CLP
2025-07-23,CJC,PMC,JetSmart,112142,CLP
2025-07-05,CJC,IQQ,LATAM,125115,CLP
2025-08-01,SCL,CJC,Sky,135517,CLP
2025-08-15,ANF,CJC,LATAM,85800,CLP
2025-08-09,CJC,PMC,Sky,129183,CLP
2025-08-07,IQQ,PMC,LATAM,37718,CLP
2025-07-18,PMC,ANF,Sky,114349,CLP
2025-07-22,SCL,CJC,Sky,62668,CLP
2025-08-01,ANF,PMC,Sky,104217,CLP
2025-07-18,CJC,IQQ,JetSmart,17661,CLP
2025-08-03,ANF,SCL,LATAM,121542,CLP
2025-08-01,CJC,ANF,JetSmart,139804,CLP
2025-08-11,LSC,PMC,Sky,19520,CLP
2025-07-06,IQQ,ANF,Sky,78780,CLP
2025-07-20,LSC,CJC,Sky,139062,CLP
2025-08-05,CJC,IQQ,Sky,101714,CLP
2025-07-23,LSC,PMC,Sky,95379,CLP
2025-07-17,ANF,SCL,JetSmart,65484,CLP
2025-07-21,SCL,LSC,JetSmart,63535,CLP
2025-07-13,ANF,CJC,Sky,89186,CLP
2025-07-07,ANF,PMC,LATAM,109602,CLP
2025-07-12,IQQ,SCL,JetSmart,48182,CLP
2025-07-18,SCL,ANF,JetSmart,91581,CLP
2025-08-14,ANF,CJC,LATAM,18215,CLP
2025-08-06,IQQ,CJC,Sky,130466,CLP
2025-07-22,ANF,SCL,Sky,140233,CLP
2025-07-08,SCL,CJC,Sky,34420,CLP
2025-08-06,LSC,SCL,LATAM,54111,CLP
2025-08-06,IQQ,SCL,LATAM,46051,CLP
2025-08-05,PMC,LSC,JetSmart,74162,CLP
2025-08-03,PMC,CJC,Sky,92949,CLP
